experiment,episode,board_size,start_stones,opponent,dqn_color,winner,dqn_win,game_length,invalid_fallbacks,experimental_board_transfer
experimental_board_size_transfer,69,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,70,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,71,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,72,5,0,Random Agent,BLUE,RED,0,13,0,True
experimental_board_size_transfer,73,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,74,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,75,5,0,Random Agent,RED,BLUE,0,20,0,True
experimental_board_size_transfer,76,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,77,5,0,Random Agent,RED,BLUE,0,22,0,True
experimental_board_size_transfer,78,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,79,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,80,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,81,5,0,Random Agent,RED,BLUE,0,20,0,True
experimental_board_size_transfer,82,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,83,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,84,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,85,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,86,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,87,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,88,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,89,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,90,5,0,Random Agent,BLUE,RED,0,15,0,True
experimental_board_size_transfer,91,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,92,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,93,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,94,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,95,5,0,Random Agent,RED,BLUE,0,18,0,True
experimental_board_size_transfer,96,5,0,Random Agent,BLUE,RED,0,17,0,True
experimental_board_size_transfer,97,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,98,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,99,5,0,Random Agent,RED,BLUE,0,20,0,True
experimental_board_size_transfer,100,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,101,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,102,5,0,Random Agent,BLUE,RED,0,25,0,True
experimental_board_size_transfer,103,5,0,Random Agent,RED,BLUE,0,14,0,True
experimental_board_size_transfer,104,5,0,Random Agent,BLUE,RED,0,19,0,True
experimental_board_size_transfer,105,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,106,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,107,5,0,Random Agent,RED,RED,1,9,0,True
