experiment,board_size,start_stones,opponent,experimental_board_transfer,games,dqn_wins,dqn_losses,win_rate,red_games,dqn_red_wins,red_win_rate,blue_games,dqn_blue_wins,blue_win_rate,avg_game_length,std_game_length,invalid_fallbacks
unseen_starting_positions,7,0,Random Agent,False,200,195,5,0.975,100,99,0.99,100,96,0.96,16.175,5.8010893969111335,0
unseen_starting_positions,7,2,Random Agent,False,200,194,6,0.97,100,97,0.97,100,97,0.97,19.43,6.750030709031206,0
unseen_starting_positions,7,4,Random Agent,False,200,192,8,0.96,100,97,0.97,100,95,0.95,22.18,7.905064848010814,0
unseen_starting_positions,7,6,Random Agent,False,200,180,20,0.9,100,93,0.93,100,87,0.87,25.44,8.614373870800458,0
unseen_starting_positions,7,8,Random Agent,False,200,185,15,0.925,100,95,0.95,100,90,0.9,26.505,7.923628870180745,0
