opponent,games,dqn_wins,dqn_losses,win_rate,red_games,dqn_red_wins,red_win_rate,blue_games,dqn_blue_wins,blue_win_rate
Random Agent,200,190,10,0.95,100,94,0.94,100,96,0.96
Center/Greedy Agent,200,200,0,1.0,100,100,1.0,100,100,1.0
